id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,mths_since_last_major_derog,acc_now_delinq,tot_cur_bal,acc_open_past_24mths,avg_cur_bal,bc_util,chargeoff_within_12_mths,delinq_amnt,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,num_actv_bc_tl,num_bc_tl,num_il_tl,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens
37277737,5000,5000,5000, 36 months,13.66%,170.07,,n/a,RENT,20352,Verified,14-Dec,Current,small_business,930xx,CA,20.75,0,Dec-87,700,704,0,NA,NA,11,0,12126,76.90%,15,16-Feb,170.07,16-Mar,16-Feb,NA,0,12126,2,1213,95.5,0,0,0,7,NA,NA,5,7,0,0,0,0,2,80,0,0
36049257,25000,25000,25000, 36 months,7.49%,777.55,Insurance Agent,3 years,RENT,110000,Verified,14-Dec,Current,small_business,553xx,MN,11.38,0,Mar-99,785,789,0,NA,NA,7,0,8121,15.60%,22,16-Feb,777.55,16-Mar,16-Feb,NA,0,282870,0,40410,15.6,0,0,3,39,NA,9,3,8,10,0,0,0,0,25,0,0
37137625,9225,9225,9225, 36 months,19.24%,339.28,Administrative Assistant,< 1 year,RENT,27000,Verified,14-Dec,Current,small_business,430xx,OH,13.73,0,Mar-96,700,704,0,NA,NA,4,0,5089,78.30%,6,16-Feb,389.52,16-Mar,16-Feb,NA,0,8787,2,2197,78.3,0,0,0,7,NA,9,2,3,3,0,0,0,1,50,0,0
36900326,35000,35000,34725, 60 months,26.06%,1049.17,Systems Engineer,1 year,RENT,120000,Verified,14-Dec,Current,small_business,338xx,FL,20.56,0,6-Feb,660,664,1,37,NA,6,0,4905,33.80%,15,16-Feb,1049.17,16-Mar,16-Feb,42,0,62890,6,10482,33.8,0,0,0,6,37,6,2,9,6,0,0,0,4,0,0,0
36148607,14900,14900,14900, 36 months,19.99%,553.67,truck driver,2 years,RENT,44000,Verified,14-Dec,Current,small_business,173xx,PA,6.85,0,2-Apr,700,704,1,NA,NA,4,0,11781,65.10%,10,16-Feb,553.67,16-Mar,16-Feb,NA,0,11781,0,2945,65.1,0,0,0,53,NA,1,4,10,0,0,0,0,0,50,0,0
37031364,9100,9100,9100, 36 months,17.14%,325.08,physician,2 years,MORTGAGE,100000,Not Verified,14-Dec,Late (31-120 days),small_business,080xx,NJ,22.4,1,Nov-89,690,694,3,10,NA,10,0,60087,75.10%,25,15-Nov,325.08,16-Mar,16-Feb,10,0,383511,3,38351,84.3,0,0,2,15,NA,0,5,10,10,0,0,1,1,100,0,0
37267388,5600,5600,5600, 36 months,10.49%,181.99,inventory,8 years,MORTGAGE,60000,Source Verified,14-Dec,Current,small_business,450xx,OH,9.92,1,2-May,720,724,0,17,NA,13,0,4411,21.90%,30,16-Feb,181.99,16-Mar,16-Feb,NA,0,129123,8,11738,27.6,0,0,2,19,17,9,1,9,13,0,0,0,3,0,0,0
37097437,10000,10000,10000, 36 months,8.19%,314.25,Electrical Supervisor,10+ years,MORTGAGE,52000,Verified,14-Dec,Current,small_business,490xx,MI,1.67,0,Sep-00,785,789,0,NA,NA,6,0,5484,12.80%,15,16-Feb,314.25,16-Mar,16-Feb,NA,0,88782,1,17756,22.6,0,0,2,13,NA,13,2,4,4,0,0,0,0,0,0,0
36361145,20000,20000,20000, 36 months,14.31%,686.57,National Director Golf Group,10+ years,RENT,250000,Verified,14-Dec,Current,small_business,891xx,NV,9.67,0,Apr-94,715,719,0,NA,NA,10,0,42856,72.90%,15,16-Feb,686.57,16-Mar,16-Feb,NA,0,93988,3,9399,73.3,0,0,0,4,NA,14,5,6,3,0,0,0,1,60,0,0
37207262,25000,25000,25000, 60 months,22.99%,704.62,Attorney,4 years,RENT,50000,Verified,14-Dec,Late (31-120 days),small_business,770xx,TX,21.24,1,May-78,685,689,0,23,NA,24,0,30496,53.10%,30,15-Dec,1409.24,16-Mar,16-Feb,NA,0,132418,0,5517,95.2,0,0,0,37,23,NA,10,11,15,0,0,0,0,81.8,0,0
37277260,9325,9325,9325, 36 months,20.99%,351.28,owner/operator,< 1 year,OWN,65000,Not Verified,14-Dec,In Grace Period,small_business,199xx,DE,13.41,0,4-Apr,665,669,0,NA,NA,8,0,5158,31.10%,9,16-Feb,391.3,16-Mar,16-Feb,NA,0,30680,4,3835,40.3,0,0,0,3,NA,11,3,3,2,0,0,0,2,66.7,0,0
37267150,35000,35000,35000, 60 months,22.99%,986.47,Executive,10+ years,MORTGAGE,171000,Verified,14-Dec,Charged Off,small_business,917xx,CA,4.18,1,Dec-93,695,699,0,23,NA,9,0,8539,52.10%,19,15-Jun,986.47,,15-Dec,69,0,439663,1,73277,55.1,0,0,3,38,23,1,1,5,3,0,0,0,1,0,0,0
36158390,11175,11175,11175, 36 months,24.99%,444.26,Supervisor,9 years,RENT,33000,Verified,14-Dec,Current,small_business,902xx,CA,7.37,0,7-Sep,675,679,1,NA,NA,6,0,6865,61.80%,10,16-Feb,444.26,16-Mar,16-Feb,NA,0,6865,2,1144,61,0,0,0,19,NA,3,5,6,3,0,0,0,0,40,0,0
36830326,15000,15000,15000, 60 months,16.49%,368.69,Real Estate Agent,2 years,RENT,50000,Source Verified,14-Dec,Current,small_business,111xx,NY,13.08,0,Sep-99,715,719,0,36,NA,10,0,11200,36.60%,28,16-Feb,368.69,16-Mar,16-Feb,44,0,25109,2,2511,36.6,0,0,1,11,36,NA,3,6,21,0,0,0,1,0,0,0
36920194,11200,11200,11200, 60 months,19.99%,296.67,Special Assistant to the Chief of Staff,10+ years,MORTGAGE,44004,Verified,14-Dec,Current,small_business,323xx,FL,23.53,0,8-Jun,675,679,0,42,NA,8,0,3001,47.60%,13,16-Feb,296.67,16-Mar,16-Feb,42,0,155647,5,19456,6.3,0,0,1,51,NA,20,1,1,8,0,0,0,3,0,0,0
36712454,12000,12000,12000, 60 months,17.14%,299.14,add laboratory,4 years,RENT,58000,Source Verified,14-Dec,Current,small_business,076xx,NJ,14,0,2-Nov,685,689,4,NA,NA,9,0,15239,62.50%,13,16-Feb,299.14,16-Mar,16-Feb,NA,0,40213,4,4468,62.5,0,0,0,3,NA,0,3,6,6,0,0,0,2,60,0,0
36920131,8350,8350,8350, 36 months,17.14%,298.29,Managing Member,8 years,RENT,89760,Verified,14-Dec,Current,small_business,303xx,GA,14.69,0,Jan-82,685,689,2,NA,3,6,6,560,20%,10,16-Feb,298.29,16-Mar,16-Feb,NA,0,36948,5,6158,27.7,0,0,1,3,NA,3,3,5,2,0,0,0,2,0,0,6
36743397,2750,2750,2750, 36 months,16.49%,97.35,Associate Scientist ,2 years,OWN,45650,Verified,14-Dec,Current,small_business,275xx,NC,31.81,0,6-Aug,720,724,1,33,NA,19,0,5467,31.20%,38,16-Feb,97.35,16-Mar,16-Feb,NA,0,202871,5,11271,36.3,0,0,3,4,33,4,2,5,17,0,0,0,1,50,0,0
36221506,35000,35000,35000, 60 months,18.54%,899.09,President/CEO,6 years,MORTGAGE,185000,Source Verified,14-Dec,Fully Paid,small_business,310xx,GA,7.38,1,Jan-00,780,784,1,4,NA,15,0,7488,13.90%,38,15-Jul,23078.04,,15-Jul,NA,0,44822,9,3448,16.5,0,0,0,4,4,4,5,14,13,0,0,0,3,0,0,0
36733295,24000,24000,24000, 36 months,19.99%,891.81,CEO,10+ years,RENT,174200,Not Verified,14-Dec,Current,small_business,774xx,TX,17.75,0,Apr-96,700,704,1,46,NA,14,0,557,3.50%,29,16-Feb,891.81,16-Mar,16-Feb,76,0,93328,10,6666,0.3,0,0,0,37,46,2,1,6,16,0,0,0,5,0,0,0
36743245,16000,16000,16000, 60 months,19.99%,423.82,Manager,10+ years,RENT,104000,Verified,14-Dec,Current,small_business,321xx,FL,12.2,1,Mar-91,665,669,0,10,58,18,3,7234,57.40%,58,16-Feb,423.82,16-Mar,16-Feb,10,0,96240,6,5347,71.7,0,0,6,19,NA,11,2,5,37,0,0,1,3,50,2,1
36621226,13625,13625,13625, 36 months,19.24%,501.1,Owner,9 years,RENT,42000,Not Verified,14-Dec,Current,small_business,967xx,HI,14.91,0,5-Jul,700,704,0,43,NA,9,0,3075,28.70%,9,16-Feb,501.1,16-Mar,16-Feb,44,0,22049,2,2756,28.7,0,0,0,8,43,7,4,8,1,0,0,0,1,0,0,0
36753254,21000,21000,21000, 36 months,10.49%,682.46,Senior Vice President,3 years,MORTGAGE,500000,Verified,14-Dec,Fully Paid,small_business,805xx,CO,11.08,0,Nov-84,735,739,3,NA,NA,25,0,76057,65.50%,38,15-Apr,19688.26,,15-Apr,NA,0,912063,4,36483,67.9,0,0,8,7,NA,2,8,11,14,0,0,0,3,44.4,0,0
36712152,24925,24925,24925, 60 months,19.24%,649.87,Forms Analyst,10+ years,MORTGAGE,62000,Verified,14-Dec,Current,small_business,440xx,OH,19.24,0,Nov-00,800,804,1,NA,NA,19,0,5847,6.50%,30,16-Feb,649.87,16-Mar,16-Feb,NA,0,251012,3,15688,10.2,0,0,3,58,NA,2,2,8,6,0,0,0,2,0,0,0
36491464,12175,12175,12175, 36 months,24.99%,484.02,Tech Support Supervisor,5 years,RENT,44000,Verified,14-Dec,Fully Paid,small_business,347xx,FL,19.07,0,Sep-92,685,689,2,59,NA,11,0,3497,23.60%,21,15-Jun,11283.99,,15-Oct,59,0,31412,12,2856,37.2,0,0,0,2,NA,2,3,8,7,0,0,0,4,20,0,0
36411775,30000,30000,30000, 36 months,15.99%,1054.57,CEO,2 years,RENT,450000,Not Verified,14-Dec,Charged Off,small_business,102xx,NY,2.24,0,2-Oct,685,689,3,31,79,8,1,24980,74.80%,25,15-May,1054.57,,16-Feb,31,0,96629,5,12079,84.7,0,0,0,10,66,1,3,9,14,0,0,0,2,66.7,0,1
36271822,5000,5000,5000, 36 months,18.54%,182.12,owner,3 years,MORTGAGE,800000,Source Verified,14-Dec,Current,small_business,840xx,UT,1.58,0,Apr-98,675,679,1,NA,NA,5,0,4121,64.40%,11,16-Feb,182.12,16-Mar,16-Feb,NA,0,304632,4,60926,101.4,0,0,1,16,NA,2,1,4,1,0,0,0,2,100,0,0
36211811,15000,15000,15000, 60 months,19.99%,397.33,owner,3 years,MORTGAGE,123000,Not Verified,14-Dec,Current,small_business,316xx,GA,20.35,0,5-Apr,690,694,0,NA,NA,16,0,18214,52.90%,25,16-Feb,397.33,16-Mar,16-Feb,NA,0,120837,4,9295,74.3,0,0,0,29,NA,3,3,7,12,0,0,0,4,50,0,0
36340485,11000,11000,11000, 60 months,18.54%,282.57,sales manager,4 years,MORTGAGE,60000,Verified,14-Dec,Current,small_business,601xx,IL,6.56,1,Nov-00,680,684,0,3,NA,6,0,11136,81.90%,7,16-Feb,282.57,16-Mar,16-Feb,NA,0,150100,4,25017,97.9,0,0,1,17,3,6,4,4,0,0,0,0,0,100,0,0
36301635,16000,16000,16000, 36 months,13.66%,544.21,Founder,1 year,RENT,115535,Verified,14-Dec,Fully Paid,small_business,945xx,CA,1.38,0,7-Feb,760,764,0,NA,NA,3,0,4014,21.10%,7,15-Jan,16211.81,,15-Jan,NA,0,4014,2,1338,22.3,0,0,1,16,NA,16,2,4,1,0,0,0,0,0,0,0
36281651,8525,8525,8525, 36 months,17.86%,307.61,Owner,7 years,RENT,90000,Not Verified,14-Dec,Current,small_business,201xx,VA,3.23,0,8-Aug,665,669,0,NA,115,6,1,5508,64.80%,8,16-Feb,307.61,16-Mar,16-Feb,NA,0,5508,3,918,66.3,0,0,0,6,NA,NA,4,5,1,0,0,0,2,25,0,1
35348358,18000,18000,18000, 60 months,18.54%,462.39,lease operator,< 1 year,RENT,70000,Not Verified,14-Dec,Current,small_business,759xx,TX,32.92,0,Oct-86,665,669,1,37,70,9,1,4552,44.20%,18,16-Feb,462.39,16-Mar,16-Feb,65,0,16441,9,2055,55.6,0,0,0,6,37,1,2,5,7,0,0,0,4,50,1,0
36351496,18000,18000,18000, 36 months,19.24%,662,Technician,1 year,MORTGAGE,60000,Verified,14-Dec,Current,small_business,850xx,AZ,14.96,1,Apr-98,665,669,1,11,NA,9,0,550,7.30%,26,16-Feb,662,16-Mar,16-Feb,35,0,254935,6,36419,0,0,0,2,28,NA,1,0,6,12,0,0,0,2,0,0,0
20118079,5000,5000,5000, 36 months,17.14%,178.62,Sr. System Engineer,8 years,MORTGAGE,110000,Verified,14-Dec,Current,small_business,229xx,VA,16.99,2,Aug-97,660,664,1,2,NA,5,0,602,60.20%,27,16-Feb,178.62,16-Mar,16-Feb,39,1,249328,2,49866,NA,0,0,2,NA,39,6,0,5,12,0,1,0,1,NA,0,0
36231447,20000,20000,20000, 36 months,14.99%,693.21,Owner/Stylist,6 years,RENT,60000,Verified,14-Dec,Current,small_business,982xx,WA,27.12,1,6-Jan,690,694,0,19,NA,11,0,4140,47.70%,26,16-Feb,693.21,16-Mar,16-Feb,27,0,46548,4,4232,55.4,0,0,0,11,19,16,4,9,10,0,0,0,2,25,0,0
36500467,16000,16000,15950, 36 months,21.99%,610.97,Owner,7 years,RENT,50000,Verified,14-Dec,Current,small_business,973xx,OR,31.95,0,2-Apr,670,674,2,NA,NA,10,0,28452,67.10%,26,16-Feb,610.97,16-Mar,16-Feb,NA,0,39296,3,4366,93,0,0,5,9,NA,2,3,4,11,0,0,0,1,66.7,0,0
36301353,10000,10000,10000, 60 months,15.99%,243.13,driver,10+ years,MORTGAGE,82000,Verified,14-Dec,Fully Paid,small_business,347xx,FL,11.9,0,Aug-98,685,689,0,NA,63,10,2,61,0.80%,43,15-Feb,10087.06,,16-Feb,NA,0,35874,8,3986,0.9,0,0,5,15,NA,10,2,10,11,0,0,0,4,0,2,0
36128265,25075,25075,25075, 36 months,15.99%,881.44,Production Assistant,10+ years,MORTGAGE,70000,Verified,14-Dec,Fully Paid,small_business,543xx,WI,10.89,0,2-Oct,780,784,0,NA,NA,8,0,16058,37.50%,24,15-Jul,22062.3,,15-Jul,NA,0,132735,4,16592,13.1,0,0,3,50,NA,7,2,11,6,0,0,0,4,0,0,0
36331169,35000,35000,35000, 60 months,19.24%,912.55,Medical Director,1 year,RENT,200000,Source Verified,14-Dec,Current,small_business,945xx,CA,5.62,0,1-Nov,735,739,1,73,NA,6,0,12359,21.10%,17,16-Feb,912.55,16-Mar,16-Feb,NA,0,26604,2,4434,21.1,0,0,0,2,73,2,3,10,7,0,0,0,2,0,0,0
36321089,16000,16000,16000, 36 months,14.99%,554.57,Advisor,2 years,MORTGAGE,110000,Source Verified,14-Dec,In Grace Period,small_business,809xx,CO,5.5,0,6-Sep,700,704,1,31,NA,6,0,8073,53.50%,18,16-Feb,554.57,16-Mar,16-Feb,NA,0,295959,3,49327,57.3,0,0,4,35,NA,2,2,5,7,0,0,0,1,0,0,0
36300679,10750,10750,10750, 60 months,18.54%,276.15,owner,10+ years,RENT,85000,Source Verified,14-Dec,Current,small_business,181xx,PA,8.63,1,Sep-95,660,664,1,13,NA,6,0,7377,63.10%,30,16-Feb,276.15,16-Mar,16-Feb,13,0,25640,4,5128,73.3,0,0,3,6,32,6,1,14,3,0,0,1,2,50,0,0
35959805,35000,35000,35000, 36 months,19.24%,1287.22,Internet director,2 years,MORTGAGE,120000,Verified,14-Dec,Charged Off,small_business,982xx,WA,8.03,0,7-Apr,760,764,1,NA,NA,10,0,5393,15.50%,29,15-Apr,1287.22,,15-Sep,NA,0,442951,10,44295,8.1,0,0,2,14,NA,1,1,10,9,0,0,0,6,0,0,0
36410667,4200,4200,4200, 36 months,17.86%,151.55,owner,10+ years,RENT,120000,Source Verified,14-Dec,Current,small_business,926xx,CA,10.91,0,May-78,660,664,3,25,16,9,3,7783,78.60%,25,16-Feb,151.55,16-Mar,16-Feb,29,0,42578,4,6083,79.4,0,0,6,4,NA,0,3,7,6,0,0,0,3,50,1,2
36400612,20000,20000,20000, 36 months,12.99%,673.79,President,10+ years,MORTGAGE,80000,Verified,14-Dec,Charged Off,small_business,770xx,TX,12.03,0,Oct-95,685,689,0,NA,NA,9,0,12850,62.10%,14,15-Apr,673.79,,15-Dec,NA,0,236743,5,29593,67.2,0,0,3,7,NA,7,3,3,3,0,0,0,4,66.7,0,0
